Book ID,Title,Sort Character,Primary Author,Primary Author Role,Secondary Author,Secondary Author Role,Publication,Date,Review,Rating,Comment,Private Comment,Summary,Media,Physical Description,Weight,Height,Thickness,Length,Dimensions,Page Count,LCCN,Acquired,Date Started,Date Read,Barcode,BCID,Tags,Collections,Languages,Original Languages,LC Classification,ISBN,ISBNs,Subjects,Dewey Decimal,Dewey Wording,Other Call Number,Copies,Source,Entry Date,From Where,OCLC,Work id,Lending Patron,Lending Status,Lending Start,Lending End
152341902,Ishmael:A Novel,1,"Quinn, Daniel",Author,,,"Bantam (1995), Edition: Reissue, 263 pages",1995,,2,,,Ishmael:A Novel by Daniel Quinn (1995),Paperback,266 p.; 5.16 inches,0.55 pounds,5.16 inches,8 inches,0.82 inches,5.16 x 0.82 x 8 inches,266 ,,,,2016-08-07,,,fiction,"Read but unowned, Recommended By Friends",English,English,PS3567.U338,[0553375407],"[0553375407, 9780553375404]",Didactic fiction|Gorilla > Fiction|Human ecology > Fiction,813.54,1945-1999 > 20th Century > American fiction > English (North America) > Literature,,1,amazon.com books,2018-02-23,,,3379,,,,
152342032,The Book of Trees: Visualizing Branches of Knowledge,5,"Lima, Manuel",Author,"Shneiderman, Ben",Foreword,"Princeton Architectural Press (2014), 208 pages",2014,,,,,The Book of Trees: Visualizing Branches of Knowledge by Manuel Lima (2014),Hardcover,208 p.; 8 inches,,8 inches,10.5 inches,1 inch,8 x 1 x 10.5 inches,208 ,,,,,,,"information, professional reading",Anti-Library,English,English,AZ108 .L56,[1616892188],"[1616892188, 9781616892180]",,001.2,Computing and Information > Information > Knowledge > Scholarship And Learning,,1,amazon.com books,2018-02-23,,,14905211,,,,
152342049,Presentation For Engineers And Industrialists: A Group Of Letters To An Industrial Organization,1,"Braun, Carl F.",Author,,,"Literary Licensing, LLC (2011), 96 pages",2011,,,,,Presentation For Engineers And Industrialists: A Group Of Letters To An Industrial Organization by Carl F. Braun (2011),Paperback,96 p.; 5.98 inches,0.31 pounds,5.98 inches,9.02 inches,0.2 inches,5.98 x 0.2 x 9.02 inches,96 ,,,,,,,"business, professional reading",Anti-Library,English,English,,[1258137666],"[1258137666, 9781258137663]",,,,,1,amazon.com books,2018-02-23,,,20231295,,,,
152342481,"""Surely you're joking, Mr. Feynman!"" : adventures of a curious character",2,"Feynman, Richard P.",,"Leighton, Ralph|Hutchings, Edward|Gates, Bill",Author.|Editor.|Writer Of Introduction.,"New York : W.W. Norton & Company, [2018]",2018,,,,,"""Surely you're joking, Mr. Feynman!"" : adventures of a curious character by Richard P. Feynman (2018)",Paper Book,,,,,,,400 ,2018002631,,,,,,"science, polymath",Anti-Library,English,English,QC16.F49A372 2018,[0393355624],"[0393355624, 9780393355628]","Feynman, Richard P. 1918-1988|Physicists United States Biography|Science Humor|science humor",530.092B,Biography > Biography And History > Natural sciences and mathematics > Physics > Physics > Physics,,1,Library of Congress,2018-02-23,,,5655,,,,
152342577,The City Game: Basketball from the Garden to the Playgrounds,5,"Axthelm, Pete",Author,"Telander, Rick",Introduction,"Bison Books (1999), 218 pages",1999,,,,,The City Game: Basketball from the Garden to the Playgrounds by Pete Axthelm (1999),Paperback,218 p.; 5.24 inches,0.57 pounds,5.24 inches,7.99 inches,0.51 inches,5.24 x 0.51 x 7.99 inches,218 ,,,,,,,"basketball, hoopla","eBooks, Anti-Library",English,English,GV885.N4 A9,[0803259344],"[0803259344, 9780803259348]",Basketball > New York (State) > New York|New York Knickerbockers (Basketball team),796.32364097471,Athletic and outdoor sports and games > Ball and net sports > Ball sports > Basketball > By type or level > Professional > Recreational and performing arts > The arts,,1,amazon.com books,2018-02-23,,,454072,,,,
152370588,Letter Writing in Action,1,"Braun, Carl F.",,,,"C F Braun & Co., 187 pages",1951,,,,,Letter Writing in Action by Carl F. Braun (1951),Book,,,,,,,187 ,,,,,,,"business, professional reading",Anti-Library,,,,,,,,,,1,,2018-02-24,,,20231297,,,,
152370591,Fair Thought and Speech,1,"Braun, Carl F.",,,,"C F Braun & Co, 107 pages",1948,,,,,Fair Thought and Speech by Carl F. Braun (1948),Book,,,,,,,107 ,,,,,,,"thinking, professional reading",Anti-Library,,,,,,,,,,1,,2018-02-24,,,20239124,,,,
153363634,A God in Middle Management (The Unaudited Mythology of Martin Foster) (Volume 1),3,"Hess, Donn L.",Author,,,"CreateSpace Independent Publishing Platform (2017), Edition: 1, 300 pages",2017,,2,,,A God in Middle Management (The Unaudited Mythology of Martin Foster) (Volume 1) by Donn L. Hess (2017),Paperback,300 p.; 6 inches,,6 inches,9 inches,0.68 inches,6 x 0.68 x 9 inches,300 ,,,,,,,fiction,"Read but unowned, Recommended By Friends",English,English,,[1540752305],"[1540752305, 9781540752307]",,,,,1,amazon.com books,2018-03-07,,,21510178,,,,
159637671,An Island to Oneself,4,"Neale, Tom",Author,"Barber, Noel",Introduction,"Ox Bow Press (1990), Edition: Reprint, 255 pages",1990,,,,,An Island to Oneself by Tom Neale (1990),Hardcover,255 p.; 6 inches,1.1 pounds,6 inches,9 inches,1.25 inches,6 x 1.25 x 9 inches,255 ,,,,,,,stranded,Anti-Library,English,English,DU860 .N4,[0918024765],"[0918024765, 9780918024763]","Neale, Tom, 1902-1977 > Homes and haunts > Suvarrow Islands|Suvarrow Islands|Suvarrow Islands > Description and travel|Suwarrow Atoll (Cook Islands)",996.23,Cook Islands > History and Geography > Oceania and elsewhere > Polynesia > South central Pacific islands,,1,amazon.com books,2018-08-21,,,405406,,,,
159638211,Them: Adventures with Extremists,1,"Ronson, Jon",Author,,,"Simon & Schuster (2003), Edition: Reprint, 336 pages",2003,,,,,Them: Adventures with Extremists by Jon Ronson (2003),Paperback,336 p.; 5.5 inches,0.68 pounds,5.5 inches,8.44 inches,0.8 inches,5.5 x 0.8 x 8.44 inches,336 ,,,,,,,"culture, conspiracy, ethnography, libby","Your library, eBooks, Must Read",English,English,HN49.R33,[0743233212],"[0743233212, 9780743233217]",Political leadership|Radicalism|Radicals,320,Political Science  > Political Science  > Social sciences,,1,amazon.com books,2018-08-22,,,7226,,,,
