Rank,Logo,Tm,Pos,Name,Other sources
⚠️,TIER 1 BATS: APEX PREDATORS,,,,
1,,LAD,DH,Shohei Ohtani,
2,,KC,SS,Bobby Witt Jr.,Laghezza boost
3,,NYY,OF,Aaron Judge,
4,,CLE,3B,José Ramírez,
5,,NYM,OF,Juan Soto,
6,,CHC,OF,Kyle Tucker,Laghezza boost
7,,AZ,OF,Corbin Carroll,
8,,SD,OF,Fernando Tatis Jr.,
9,,PIT,SP,Paul Skenes,
10,,NYM,SS,Francisco Lindor,Laghezza boost
11,,SEA,OF,Julio Rodri­guez,
12,,BAL,SS,Gunnar Henderson,
13,,CIN,SS,Elly De La Cruz,
14,,LAD,SS/OF,Mookie Betts,
15,,TOR,1B,Vladimir Guerrero Jr.,
16,,SD,OF,Jackson Merrill,Laghezza boost
17,,MIL,OF,Jackson Chourio,
18,,BOS,OF,Jarren Duran,
19,,PHI,1B,Bryce Harper,
20,,ATL,3B,Austin Riley,
21,,HOU,OF,Yordan Alvarez,
22,,PHI,SS,Trea Turner,Laghezza boost
23,,LAD,1B,Freddie Freeman,Laghezza fade
,TIER 1 SP: STANDOUT ACES,,,,
24,,DET,SP,Tarik Skubal,
25,,PHI,SP,Zack Wheeler,
26,,BOS,SP,Garrett Crochet,
27,,SEA,SP,Logan Gilbert,
28,,ATL,SP,Chris Sale,Laghezza boost
29,,AZ,SP,Corbin Burnes,Laghezza boost
,TIER 1 RP: ACE CLOSERS,,,,
30,,CLE,RP,Emmanuel Clase,
31,,HOU,RP,Josh Hader,
32,,NYY,RP,Devin Williams,
33,,NYM,RP,Edwin Díaz,
,TIER 2 BATS: BACK TO BIG BATS,,,,
34,,MIL,C,William Contreras,
35,,AZ,2B,Ketel Marte,
36,,SD,3B,Manny Machado,Laghezza boost
37,,NYY,3B/OF,Jazz Chisholm Jr.,Laghezza fade
38,,ATL,1B,Matt Olson,Laghezza boost
39,,PIT,SS/OF,Oneil Cruz,Laghezza boost
40,,ATL,OF,Michael Harris II,Laghezza fade
41,,TEX,OF,Wyatt Langford ,
42,,OAK,OF,Lawrence Butler,Laghezza boost
43,,WSH,OF,James Wood,
44,,NYM,1B,Pete Alonso,
45,,TEX,SS,Corey Seager,
46,,WSH,SS,CJ Abrams,
47,,ATL,OF,Ronald Acuña Jr.,
,TIER 2 SP: OVERALL SP1 POTENTIAL,,,,
48,,LAD,SP,Blake Snell,
49,,SD,SP,Dylan Cease,
50,,KC,SP,Cole Ragans,Laghezza boost
51,,LAD,SP,Yoshinobu Yamamoto,
52,,SD,SP,Michael King,Laghezza boost
53,,TEX,SP,Jacob deGrom,
,TIER 2 RP: UNDISPUTED CLOSER ROLES,,,,
54,,ATL,RP,Raisel Iglesias,
55,,OAK,RP,Mason Miller,
56,,STL,RP,Ryan Helsley,
57,,MIN,RP,Jhoan Duran,
58,,SEA,RP,Andrés Muñoz,
59,,SDP,RP,Robert Suarez,
60,,TOR,RP,Jeff Hoffman,
,TIER 3 BATS: IMPACT HITTERS,,,,
61,,BOS,3B,Rafael Devers,Laghezza fade
62,,HOU,C,Yainer Diaz,
63,,LAD,OF,Teoscar Hernández,Laghezza fade
64,,OAK,OF,Brent Rooker,
65,,ATL,DH,Marcell Ozuna,
66,,COL,OF,Brenton Doyle,
67,,CHC,OF,Seiya Suzuki,Laghezza boost
68,,NYM,3B,Mark Vientos,Laghezza boost
69,,CWS,OF,Luis Robert Jr.,Laghezza fade
70,,TB,3B,Junior Caminero,
71,,BAL,C,Adley Rutschman,
72,,HOU,2B,Jose Altuve,Laghezza fade
73,,ATL,2B,Ozzie Albies,
74,,PHI,DH,Kyle Schwarber,
75,,PIT,OF,Bryan Reynolds,
76,,NYY,OF,Jasson Dominguez,Laghezza boost
77,,SF,SS,Willy Adames,
78,,KC,C/1B,Salvador Perez,
,TIER 3 SP: TOP-5 SP UPSIDE - DOUBLE TAP,,,,
79,,MIN,SP,Pablo Lopez,
80,,HOU,SP,Framber Valdez,
81,,SEA,SP,Bryce Miller,
